is_real_estate_post,area_LLM,bedroom_LLM,total_room_LLm,wc_LLM,count_conveniences,alleyway_property,under_mortgage,residential_purpose,furnished,has_lowerlevel,has_rooftop,numbers_of_floors,street_name,article_id
1.0,400.0,,,,7,1.0,,1.0,,,,0.0,,284867.0
1.0,55.0,1.0,2.0,1.0,2,,1.0,1.0,1.0,,,0.0,Đường D1,284865.0
1.0,55.0,1.0,2.0,1.0,2,,,,1.0,,,,Đỗ Xuân Hợp,284864.0
1.0,136.0,,,,5,,,1.0,1.0,,1.0,2.0,Đường Bưng Ông Thoàn,284862.0
1.0,501.0,5.0,5.0,5.0,0,,,,,,,,,284861.0
1.0,82.0,4.0,4.0,2.0,0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,Cống Lỡ Tân Bình,284857.0
1.0,82.0,4.0,4.0,2.0,0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,Cống Lỡ Tân Bình,284856.0
1.0,82.0,4.0,4.0,2.0,0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,,284855.0
1.0,36.5,5.0,,6.0,0,1.0,,,,,,4.0,Nguyễn Trung Trực,284854.0
1.0,40.0,2.0,4.0,2.0,1,1.0,,,,,,2.0,Lê Thị Hoa,284847.0
1.0,72.0,,,,0,1.0,,,,,1.0,2.0,,284845.0
1.0,72.0,,,,0,1.0,,,,,1.0,2.0,,284844.0
1.0,2.0,2.0,,2.0,3,,,,,1.0,,3.0,Nguyễn Văn Trỗi,284839.0
1.0,65.0,6.0,6.0,5.0,3,1.0,,,1.0,,,,Thạnh Xuân 43,284830.0
1.0,67.5,4.0,4.0,5.0,1,1.0,,,,,1.0,3.0,đường Liên khu 8 9 BÌNH TÂN,284827.0
,,,,,0,,,,,,,0.0,,284825.0
1.0,28.0,,,,0,1.0,,1.0,,,,2.0,Nam Hoà,284819.0
1.0,64.0,4.0,,3.0,0,1.0,,,,,1.0,2.0,HƯƠNG LỘ,284818.0
1.0,207.0,4.0,,4.0,2,,1.0,1.0,0.0,1.0,1.0,,,284813.0
1.0,207.0,4.0,4.0,4.0,2,,1.0,1.0,0.0,1.0,1.0,0.0,,284812.0
1.0,18.0,3.0,6.0,3.0,0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,Phan Đình Phùng,284804.0
1.0,104.0,,,,0,,,,,,,0.0,đường số 52,284801.0
1.0,17.4,2.0,,2.0,0,1.0,0.0,1.0,1.0,,,3.0,Trần Kế Xương,284797.0
1.0,,,,,0,,,,,,,,,284796.0
1.0,66.0,,,,4,1.0,,1.0,,,,,Quang Trung,284791.0
1.0,62.0,,,,0,1.0,,,,,,,Thạch Lam,284790.0
1.0,62.0,,,,0,1.0,,,,,,0.0,Thạch Lam,284789.0
1.0,100.0,3.0,5.0,2.0,0,1.0,,,,,,2.0,Lũy Bán Bích,284784.0
1.0,100.0,3.0,5.0,2.0,0,1.0,,,,,,2.0,Lũy Bán Bích,284783.0
1.0,45.0,3.0,3.0,3.0,2,1.0,,1.0,,,,2.0,ĐƯỜNG NHỰA,284769.0
1.0,147.0,,,,3,,,,,,1.0,4.0,đường 7,284768.0
1.0,72.0,8.0,8.0,,1,1.0,,,,,,5.0,MT Tô Hiến Thành,284755.0
1.0,49.9,4.0,6.0,5.0,2,,,,1.0,1.0,,2.0,Hòa Hưng,284750.0
1.0,137.0,3.0,,,7,,,1.0,,,,,Nguyễn Văn Tưởng,284743.0
1.0,65.0,3.0,6.0,4.0,1,1.0,0.0,1.0,0.0,0.0,0.0,2.0,Tân Quý,284737.0
1.0,43.0,2.0,5.0,3.0,4,1.0,1.0,1.0,,1.0,1.0,3.0,Bùi Minh Trực,284730.0
1.0,80.0,5.0,5.0,4.0,5,1.0,1.0,1.0,1.0,0.0,1.0,3.0,Đường số 5,284728.0
1.0,120.0,,,,1,1.0,,,1.0,,,5.0,Trương Đức Toàn,284706.0
1.0,37.0,4.0,,,2,1.0,,,,,,4.0,Đường số 21,284704.0
1.0,52.0,5.0,,,5,1.0,,1.0,,,,4.0,Nguyễn Văn Khối,284701.0
1.0,122.0,2.0,3.0,2.0,0,1.0,,,,1.0,,2.0,Trần Kế Xương,284698.0
1.0,26.0,2.0,,3.0,0,,,,,,,2.0,Vạn Kiếp,284697.0
1.0,68.0,6.0,8.0,6.0,1,1.0,,1.0,,1.0,1.0,3.0,Lê Văn Quới,284696.0
1.0,101.0,,,,0,1.0,,,,,,0.0,Dương Quảng Hàm,284690.0
1.0,101.0,,,,0,1.0,,,,,,0.0,Dương Quảng Hàm,284689.0
1.0,95.0,5.0,5.0,6.0,2,1.0,,,1.0,1.0,1.0,3.0,Phạm Văn Đồng,284679.0
1.0,50.0,5.0,7.0,6.0,3,1.0,,1.0,,1.0,1.0,4.0,Phan Văn Trị,284678.0
1.0,176.0,4.0,,,5,,,1.0,,1.0,,2.0,Nguyễn Văn Tưởng,284675.0
1.0,40.0,,,,2,1.0,,,,,,3.0,Nguyễn Bặc,284666.0
1.0,55.0,1.0,2.0,1.0,2,,,,1.0,,,0.0,Đường D1,284655.0
0.0,,,,,0,,,,,,,0.0,,284645.0
1.0,169.0,3.0,3.0,3.0,0,,,,1.0,1.0,,1.0,,284644.0
1.0,169.0,3.0,3.0,3.0,0,,,,1.0,1.0,,2.0,,284643.0
1.0,50.0,1.0,2.0,1.0,2,,,,1.0,,,,Đường Võ Chí Công,284642.0
1.0,49.0,6.0,6.0,4.0,0,1.0,,,,,1.0,3.0,LŨY BÁN BÍCH,284639.0
1.0,36.0,,,,2,1.0,,,,,,4.0,Thiên Phước,284635.0
1.0,36.0,3.0,,,1,1.0,,,,,,2.0,đường xe tải,284634.0
1.0,57.0,3.0,,2.0,2,1.0,,,,,,2.0,Lê Văn Thọ,284629.0
1.0,42.0,,,,1,,,,1.0,1.0,,,,284627.0
1.0,,,,,0,,,,,,,4.0,Lý Thường Kiệt,284626.0
1.0,,,,,0,,,,,,,4.0,Lý Thường Kiệt,284625.0
1.0,110.0,2.0,,2.0,2,,,,1.0,,,,Xa Lộ Hà Nội,284624.0
1.0,,2.0,,3.0,2,,,,,,1.0,3.0,Trường Chinh,284617.0
1.0,65.0,3.0,,3.0,0,1.0,,,1.0,1.0,1.0,2.0,Hoàng Sa,284616.0
1.0,,,,,2,1.0,,,,,,3.0,Phạm Văn Hai,284610.0
1.0,31.0,2.0,,,0,1.0,,,,1.0,,3.0,,284607.0
1.0,31.0,2.0,3.0,,0,1.0,,,,1.0,,2.0,Ngã tư Bốn Xã,284606.0
1.0,75.0,2.0,3.0,,1,1.0,,1.0,,,,1.0,Lý Thánh Tông,284600.0
1.0,80.0,,,,0,,,,,,1.0,2.0,"An Phú, An Khánh, Q2",284592.0
1.0,,2.0,,2.0,0,1.0,,1.0,,,,2.0,Phan Huy Ích,284587.0
1.0,198.0,2.0,,,4,,,1.0,1.0,,,,Võ Văn Kiệt,284586.0
1.0,89.0,,,,14,1.0,,1.0,,,,5.0,Nguyễn Cửu Phú,284578.0
1.0,60.0,2.0,,,0,,,,,,,2.0,Dương Đức Hiền,284575.0
1.0,72.0,4.0,6.0,6.0,0,1.0,,,,1.0,1.0,2.0,Lê Văn Thọ,284571.0
1.0,72.0,4.0,,6.0,0,,,,,,,3.0,Lê Văn Thọ,284570.0
1.0,64.0,4.0,5.0,,3,1.0,,,,,1.0,2.0,Nguyễn Văn Lượng,284569.0
1.0,55.0,3.0,,,3,1.0,,,,,,,Chợ Phan Anh,284568.0
1.0,178.0,3.0,7.0,3.0,1,1.0,1.0,1.0,,,,2.0,đường số 4,284567.0
1.0,70.0,2.0,,2.0,0,,,,,,,,Tân Hưng Thuận,284566.0
1.0,90.0,,,,1,,,1.0,,,,0.0,phạm văn đồng,284565.0
1.0,48.0,1.0,1.0,1.0,0,1.0,,,,,,0.0,Trung Chánh Hocmon,284563.0
1.0,107.0,3.0,5.0,3.0,0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,NGUYỆN THỊ BÚP,284562.0
1.0,40.0,2.0,,,3,1.0,,,,,,,Chợ Phan Anh,284561.0
1.0,75.0,3.0,,2.0,1,,1.0,1.0,,,,2.0,Đỗ Xuân Hợp,284559.0
1.0,46.0,4.0,,,0,1.0,,,,,1.0,4.0,Hồng Lạc,284558.0
1.0,,4.0,,,0,1.0,,,,1.0,1.0,3.0,đường nội bộ,284557.0
1.0,40.0,3.0,5.0,4.0,2,1.0,0.0,1.0,0.0,1.0,1.0,4.0,Phan Đăng Lưu,284542.0
1.0,,,,,2,,,,,,,0.0,Đường 65,284535.0
1.0,129.0,6.0,6.0,4.0,3,,,,,,1.0,2.0,Khiếu Năng Tĩnh,284534.0
1.0,400.0,14.0,,,5,1.0,,,,,,2.0,Đường Số 10,284533.0
1.0,377.95,,,,2,1.0,,1.0,,,,2.0,Cầu Kinh,284519.0
1.0,100.0,4.0,,3.0,0,,,1.0,,,1.0,2.0,đường số 4,284518.0
1.0,40.0,2.0,,2.0,0,1.0,,,,,,2.0,Xô Viết Nghệ Tĩnh,284516.0
1.0,90.0,4.0,4.0,5.0,1,1.0,0.0,1.0,0.0,1.0,1.0,2.0,đường số 6B,284513.0
1.0,132.0,23.0,25.0,,0,1.0,,,1.0,1.0,,6.0,Đường số 16,284510.0
1.0,50.0,2.0,4.0,2.0,3,1.0,,1.0,,,,2.0,Lê Đình Cẩn,284508.0
1.0,44.0,1.0,2.0,1.0,0,1.0,,1.0,,,,2.0,Lạc Long Quân,284506.0
1.0,,2.0,,,0,1.0,,,,,,2.0,Nguyễn Phúc Chu,284493.0
1.0,,3.0,,3.0,2,1.0,0.0,1.0,,1.0,,2.0,Ni Sư Huỳnh Liên,284492.0
1.0,58.0,,,,5,1.0,,,,,,,Lê Văn Quới,284491.0
,,,,,0,,,,,,,0.0,,284489.0
1.0,48.0,4.0,4.0,5.0,5,1.0,0.0,1.0,0.0,0.0,1.0,2.0,MÃ LÒ,284486.0
1.0,88.0,,,,4,1.0,,,,,,2.0,LÊ VĂN QUỚI,284479.0
1.0,72.0,5.0,5.0,6.0,4,1.0,1.0,1.0,,,1.0,3.0,Phạm Nhữ Tăng,284477.0
1.0,72.0,5.0,5.0,6.0,4,1.0,1.0,1.0,,,1.0,3.0,Phạm Nhữ Tăng,284476.0
1.0,55.88,5.0,5.0,3.0,2,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Đường 3/2,284472.0
1.0,54.0,,,,5,1.0,,,,,,3.0,ĐẤT MỚI,284471.0
1.0,268.0,3.0,5.0,2.0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,TAM CHÂU,284469.0
1.0,65.0,4.0,4.0,5.0,3,1.0,1.0,1.0,1.0,0.0,1.0,3.0,Bình Thọ,284468.0
1.0,64.0,,,,2,1.0,,,,,,1.0,TRƯƠNG PHƯỚC PHAN,284467.0
1.0,74.0,3.0,4.0,2.0,2,1.0,,1.0,,,,2.0,Nguyễn Sỹ Sách,284466.0
1.0,74.0,3.0,4.0,2.0,2,1.0,,1.0,,,,2.0,Nguyễn Sỹ Sách,284465.0
1.0,300.0,,,4.0,1,,,,1.0,,1.0,3.0,Võ Văn Kiệt,284463.0
1.0,68.0,2.0,,2.0,4,,1.0,1.0,1.0,,,,Đường Võ Chí Công,284462.0
1.0,66.5,2.0,,2.0,4,,1.0,,1.0,,,,Đường Võ Chí Công,284461.0
1.0,50.0,1.0,2.0,1.0,3,,,,1.0,,,,Đường Võ Chí Công,284459.0
1.0,76.0,4.0,6.0,1.0,3,1.0,0.0,1.0,0.0,0.0,1.0,3.0,Thạch Lam,284453.0
1.0,55.0,4.0,4.0,3.0,1,1.0,,1.0,,1.0,,2.0,Đỗ Xuân Hợp,284452.0
1.0,254.0,2.0,4.0,1.0,4,1.0,,1.0,,,,1.0,Quốc Lộ 22,284451.0
1.0,184.0,22.0,,,2,1.0,,,1.0,1.0,1.0,3.0,Đường 38,284445.0
1.0,60.0,4.0,4.0,5.0,0,1.0,,,,,1.0,2.0,đường số 3,284442.0
1.0,84.0,4.0,4.0,3.0,0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,Đường số 12,284431.0
1.0,,,,,3,1.0,,,1.0,,,3.0,CV Lê Thị Riêng,284428.0
1.0,60.6,,,,4,1.0,,,,,,,đường 11 Trường Thọ,284425.0
1.0,60.0,3.0,3.0,2.0,3,1.0,,1.0,,,,2.0,Nguyễn Xí,284420.0
1.0,33.0,1.0,,,7,,,,1.0,1.0,,,Lý Chiêu Hoàng,284412.0
1.0,34.0,2.0,3.0,2.0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,Lê Văn Thọ Nguyễn Văn Khối,284406.0
1.0,100.0,3.0,4.0,2.0,0,1.0,,,,,,2.0,TRUNG MỸ TÂY Q12,284404.0
1.0,56.0,5.0,5.0,5.0,0,1.0,,,1.0,,1.0,4.0,Trường Chinh,284402.0
1.0,98.0,,,,0,,,,,,,0.0,Đặng Văn Bi,284401.0
1.0,,4.0,,,2,,,1.0,,,,4.0,Thạch Lam,284399.0
1.0,,4.0,,3.0,0,1.0,,,,,1.0,2.0,Đặng Văn Bi,284398.0
1.0,,,,,0,,,1.0,,,,0.0,,284397.0
1.0,90.0,8.0,10.0,,0,,,1.0,,,1.0,4.0,Ba Tháng Hai,284395.0
1.0,88.0,6.0,6.0,7.0,3,,,,,1.0,1.0,2.0,Lê Văn Thọ,284393.0
1.0,56.0,4.0,4.0,4.0,2,1.0,,,,,1.0,2.0,Phan Văn Trị,284392.0
1.0,67.0,2.0,4.0,2.0,0,1.0,,,,1.0,,2.0,Giáp Tân Bình,284389.0
1.0,59.0,5.0,,4.0,0,1.0,,,,,1.0,5.0,Nguyễn Hồng Đạo,284386.0
1.0,59.0,5.0,,4.0,0,1.0,,,,,1.0,4.0,Nguyễn Hồng Đạo,284385.0
1.0,100.0,3.0,,,1,1.0,,1.0,,1.0,,,Tân Mỹ,284384.0
1.0,80.0,5.0,,6.0,1,1.0,,,,,,5.0,đường số 44,284383.0
1.0,70.0,3.0,3.0,2.0,1,1.0,,1.0,,,,2.0,Cầu Bình Thuận Tân Kỳ Tân Quý Mã Lò,284382.0
1.0,51.0,4.0,4.0,3.0,0,1.0,,1.0,,,,2.0,Nguyễn Cửu Đàm,284381.0
1.0,45.48,3.0,3.0,3.0,3,1.0,0.0,1.0,1.0,0.0,1.0,2.0,Mã Lò,284377.0
1.0,80.0,6.0,,,0,,,,,,1.0,5.0,Tân Phú,284376.0
1.0,122.6,4.0,6.0,3.0,0,1.0,1.0,1.0,,,1.0,2.0,Nguyễn Đình Chính,284373.0
1.0,61.0,2.0,,,0,1.0,,1.0,,,,,đường số 47,284369.0
1.0,,2.0,2.0,2.0,1,1.0,,1.0,,,,2.0,Lê Văn Quới,284368.0
1.0,48.2,2.0,2.0,2.0,1,1.0,,,,,,2.0,AEONMALL - TÂN PHÚ,284367.0
1.0,,2.0,,2.0,1,1.0,,,,,,2.0,Bình Hưng Hòa,284366.0
1.0,45.0,,,,2,,,,,,,0.0,PHẠM VĂN HAI,284364.0
1.0,40.0,3.0,3.0,2.0,1,1.0,1.0,,1.0,,,2.0,Nguyễn Văn Lượng,284363.0
1.0,76.0,5.0,,,0,1.0,,1.0,,,,,Lê Đức Thọ,284360.0
1.0,1572.0,,,,0,,,,,,,0.0,Quốc Lộ 1A,284358.0
1.0,1651.0,,,,0,,,,,,,,Đường Võ Thị Thừa,284355.0
1.0,346.0,,,,4,,,,,,,6.0,Bàu Cát,284354.0
1.0,50.0,4.0,4.0,,0,1.0,,1.0,,,1.0,2.0,Lã Xuân Oai Lê Văn Việt,284353.0
1.0,,2.0,,,0,,,,,,,,,284328.0
1.0,,2.0,,,0,,,,,,,,,284327.0
1.0,90.0,,,,1,,,,,,,,588 Phước Long A,284324.0
1.0,64.0,3.0,3.0,1.0,4,1.0,,,,,,2.0,NGUYỄN HỮU TIẾN,284322.0
1.0,39.5,3.0,5.0,,4,1.0,,,1.0,,1.0,2.0,Đường Thống Nhất,284321.0
1.0,45.0,3.0,3.0,3.0,2,1.0,,1.0,,,,3.0,Quang Trung,284320.0
1.0,,2.0,,2.0,1,1.0,,1.0,,,,2.0,Ni Sư Huỳnh Liên,284319.0
1.0,45.0,3.0,5.0,2.0,0,1.0,1.0,1.0,1.0,1.0,,,Lê Văn Quới,284308.0
1.0,55.0,4.0,,,0,1.0,,,,,1.0,3.0,Hương lộ 2,284304.0
1.0,120.0,4.0,4.0,5.0,1,1.0,,,,1.0,1.0,2.0,Phan Văn Trị,284303.0
1.0,56.1,2.0,3.0,2.0,0,1.0,,,,,,1.0,Thống Nhất,284302.0
1.0,16.0,3.0,,,1,1.0,,,,,,3.0,Ông Địa Lý Thường Kiệt,284301.0
1.0,40.0,3.0,,,3,,,,,,,3.0,Võ Văn Ngân,284300.0
1.0,80.0,3.0,4.0,2.0,0,1.0,1.0,,,,,2.0,GÒ VẤP,284299.0
1.0,51.8,4.0,4.0,4.0,0,1.0,,,1.0,,,3.0,Lê Văn Việt,284298.0
1.0,66.0,6.0,6.0,3.0,0,1.0,,,,,,3.0,NGUYỄN VĂN QUÁ ĐÔNG HƯNG THUẬN,284297.0
1.0,57.0,3.0,4.0,2.0,0,1.0,,,,,,2.0,Đường Nguyễn,284296.0
1.0,120.0,3.0,4.0,2.0,3,1.0,,,,,,2.0,Tân Chánh Hiệp,284295.0
1.0,,2.0,,2.0,2,,,1.0,,1.0,,2.0,Kinh Dương Vương,284294.0
1.0,,2.0,,2.0,2,,,1.0,,1.0,,2.0,Kinh Dương Vương,284293.0
1.0,50.0,,,,7,1.0,,1.0,,1.0,1.0,4.0,Đường Lê Văn Thọ,284291.0
1.0,18.0,,,,5,1.0,,,,,,3.0,Nguyễn Thượng Hiền,284287.0
1.0,89.0,3.0,5.0,2.0,5,1.0,,1.0,,,1.0,1.0,Đường Đông Lân,284286.0
1.0,182.46,,,,0,,,1.0,,,,0.0,Nam Hoà,284279.0
1.0,173.8,,,,0,,,1.0,,,,,Nguyễn Xiển,284278.0
1.0,22.0,2.0,4.0,,0,1.0,0.0,1.0,,,,,Hoàng Văn Thụ,284277.0
1.0,120.0,3.0,,1.0,1,,,,,,,3.0,Lê Trọng Tấn,284271.0
1.0,,3.0,,3.0,1,1.0,,1.0,,,1.0,4.0,Đồng Xoài,284270.0
1.0,,3.0,,3.0,1,1.0,,1.0,,,1.0,4.0,Đồng Xoài,284269.0
1.0,89.0,2.0,3.0,1.0,5,1.0,,1.0,,,1.0,1.0,,284268.0
1.0,,,,,3,1.0,,1.0,,,,2.0,,284267.0
1.0,55.0,1.0,2.0,1.0,2,,,,1.0,,,,Đường D1,284259.0
1.0,66.0,2.0,,2.0,2,,,,1.0,,,,Đỗ Xuân Hợp,284258.0
1.0,66.0,2.0,,2.0,2,,,,1.0,,,0.0,Đỗ Xuân Hợp,284257.0
1.0,70.0,2.0,,2.0,2,,,1.0,1.0,,,,Đỗ Xuân Hợp,284256.0
1.0,55.0,1.0,2.0,1.0,2,,,,1.0,,,0.0,Đỗ Xuân Hợp,284254.0
1.0,87.0,3.0,,2.0,2,,1.0,1.0,,,,,Đường Võ Chí Công,284249.0
1.0,59.0,2.0,3.0,2.0,1,1.0,,,,,,2.0,Bình Trị Đông A,284248.0
1.0,80.0,2.0,3.0,2.0,0,1.0,,,,1.0,,2.0,Đường Thống Nhất,284247.0
1.0,80.0,2.0,3.0,2.0,0,1.0,,,,1.0,,2.0,Đường Thống Nhất,284246.0
1.0,80.0,2.0,3.0,2.0,0,1.0,,,,1.0,,2.0,Đường Thống Nhất,284245.0
1.0,42.0,2.0,3.0,2.0,0,1.0,,1.0,,,1.0,2.0,Đường Số 3,284244.0
1.0,270.0,,,,2,1.0,1.0,1.0,,,,0.0,Phạm Văn Đồng,284238.0
1.0,55.0,4.0,4.0,3.0,3,1.0,0.0,1.0,0.0,0.0,1.0,3.0,Lạc Long Quân,284237.0
1.0,42.0,2.0,4.0,2.0,0,1.0,,,,,,2.0,Phạm Văn Chiêu,284229.0
1.0,82.0,3.0,,,1,1.0,,,,,,3.0,Bạch Đằng,284226.0
1.0,93.0,,,,0,1.0,,1.0,,,,,Ngô Chí Quốc,284225.0
1.0,100.0,15.0,,,0,,1.0,1.0,,,,4.0,Đường 1C,284224.0
1.0,93.0,4.0,7.0,4.0,3,1.0,,,,1.0,1.0,4.0,"Đặng Văn Bi, Xa lộ Hà Nội, Kha Vạn Cân, Phạm Văn Đồng",284206.0
1.0,56.0,,,,1,,,,,,,0.0,Lạc Long Quân,284204.0
,,,,,0,,,,,,,0.0,,284203.0
1.0,50.0,4.0,4.0,5.0,0,1.0,,1.0,1.0,1.0,0.0,5.0,Thống Nhất,284201.0
1.0,58.0,5.0,,,5,1.0,,,,,,4.0,Huỳnh Văn Bánh,284198.0
1.0,160.0,,,,0,1.0,,,,,,3.0,Lê Thúc Hoạch,284197.0
